subject_id,model,precision,recall,f1,pr_auc,tp,fp,fn,n_test_pos,n_test_neg
24,Logistic Regression,0.15384615384615385,1.0,0.26666666666666666,0.6845238095238095,4,22,0,4,620
24,Random Forest,1.0,1.0,1.0,1.0,4,0,0,4,620
25,Threshold Baseline,0.010752688172043012,1.0,0.02127659574468085,,4,368,0,4,643
25,Logistic Regression,0.2222222222222222,1.0,0.36363636363636365,0.775,4,14,0,4,643
25,Random Forest,0.0,0.0,0.0,0.7291666666666666,0,0,4,4,643
26,Threshold Baseline,0.008522727272727272,0.75,0.016853932584269662,,3,349,1,4,634
26,Logistic Regression,0.26666666666666666,1.0,0.42105263157894735,0.775,4,11,0,4,634
26,Random Forest,1.0,0.5,0.6666666666666666,0.8166666666666667,2,0,2,4,634
27,Threshold Baseline,0.00909090909090909,1.0,0.018018018018018018,,3,327,0,3,575
27,Logistic Regression,0.21428571428571427,1.0,0.35294117647058826,0.8095238095238095,3,11,0,3,575
27,Random Forest,1.0,1.0,1.0,1.0,3,0,0,3,575
28,Threshold Baseline,0.008064516129032258,0.75,0.015957446808510637,,3,369,1,4,609
28,Logistic Regression,0.125,1.0,0.2222222222222222,0.59375,4,28,0,4,609
28,Random Forest,1.0,0.5,0.6666666666666666,0.6458333333333333,2,0,2,4,609
29,Threshold Baseline,0.014285714285714285,1.0,0.028169014084507043,,5,345,0,5,563
29,Logistic Regression,0.2222222222222222,0.8,0.34782608695652173,0.8256410256410257,4,14,1,5,563
29,Random Forest,1.0,0.6,0.75,0.8017605633802818,3,0,2,5,563
30,Threshold Baseline,0.009523809523809525,1.0,0.018867924528301886,,4,416,0,4,659
30,Logistic Regression,0.15384615384615385,1.0,0.26666666666666666,0.8125,4,22,0,4,659
30,Random Forest,1.0,0.75,0.8571428571428571,1.0,3,0,1,4,659
