subject_id,model,gt_reps,pred_reps,abs_error,event_tp,event_fp,event_fn,event_precision,event_recall,event_f1,pp_config
27,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
28,Threshold Baseline,2,16,14,1,15,1,0.0625,0.5,0.1111111111111111,minimal
28,Logistic Regression,2,14,12,2,12,0,0.14285714285714285,1.0,0.25,minimal
28,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
29,Threshold Baseline,2,14,12,2,12,0,0.14285714285714285,1.0,0.25,minimal
29,Logistic Regression,2,12,10,2,10,0,0.16666666666666666,1.0,0.2857142857142857,minimal
29,Random Forest,2,2,0,1,1,1,0.5,0.5,0.5,minimal
30,Threshold Baseline,2,18,16,1,17,1,0.05555555555555555,0.5,0.09999999999999999,minimal
30,Logistic Regression,2,16,14,2,14,0,0.125,1.0,0.2222222222222222,minimal
30,Random Forest,2,2,0,2,0,0,1.0,1.0,1.0,minimal
