subject_id,model,precision,recall,f1,pr_auc,tp,fp,fn,n_test_pos,n_test_neg
1,Threshold Baseline,0.011764705882352941,1.0,0.023255813953488372,,5,420,0,5,615
1,Logistic Regression,0.08333333333333333,1.0,0.15384615384615385,0.3941649048625793,5,55,0,5,615
1,Random Forest,0.5,0.4,0.4444444444444444,0.5159663865546218,2,2,3,5,615
2,Threshold Baseline,0.010582010582010581,1.0,0.020942408376963352,,4,374,0,4,533
2,Logistic Regression,0.07142857142857142,1.0,0.13333333333333333,0.10412061597406425,4,52,0,4,533
2,Random Forest,0.0,0.0,0.0,0.17205450508523135,0,0,4,4,533
3,Threshold Baseline,0.012690355329949238,1.0,0.02506265664160401,,5,389,0,5,594
3,Logistic Regression,0.08163265306122448,0.8,0.14814814814814814,0.333592039800995,4,45,1,5,594
3,Random Forest,0.0,0.0,0.0,0.7350027824151364,0,0,5,5,594
4,Threshold Baseline,0.011627906976744186,0.8,0.022922636103151862,,4,340,1,5,517
4,Logistic Regression,0.125,1.0,0.2222222222222222,0.5833333333333333,5,35,0,5,517
4,Random Forest,1.0,0.2,0.3333333333333333,0.38441558441558443,1,0,4,5,517
5,Threshold Baseline,0.012012012012012012,1.0,0.02373887240356083,,4,329,0,4,491
5,Logistic Regression,0.09523809523809523,1.0,0.17391304347826086,0.4921016483516484,4,38,0,4,491
5,Random Forest,1.0,0.25,0.4,0.6111111111111112,1,0,3,4,491
6,Threshold Baseline,0.007228915662650603,1.0,0.014354066985645933,,3,412,0,3,754
6,Logistic Regression,0.07142857142857142,0.6666666666666666,0.12903225806451613,0.21883468834688347,2,26,1,3,754
6,Random Forest,0.0,0.0,0.0,0.19697317787605537,0,0,3,3,754
7,Threshold Baseline,0.009009009009009009,1.0,0.017857142857142856,,3,330,0,3,513
7,Logistic Regression,0.08571428571428572,1.0,0.15789473684210525,0.1986161986161986,3,32,0,3,513
7,Random Forest,0.0,0.0,0.0,0.17353643966547191,0,0,3,3,513
8,Threshold Baseline,0.01607717041800643,1.0,0.03164556962025317,,5,306,0,5,490
8,Logistic Regression,0.08823529411764706,0.6,0.15384615384615385,0.4429578392621871,3,31,2,5,490
8,Random Forest,0.0,0.0,0.0,0.38737373737373737,0,1,5,5,490
9,Threshold Baseline,0.00911854103343465,1.0,0.018072289156626505,,3,326,0,3,492
9,Logistic Regression,0.075,1.0,0.13953488372093023,0.4179487179487179,3,37,0,3,492
9,Random Forest,0.0,0.0,0.0,0.031818181818181815,0,0,3,3,492
10,Threshold Baseline,0.008086253369272238,1.0,0.016042780748663103,,3,368,0,3,574
10,Logistic Regression,0.08823529411764706,1.0,0.16216216216216217,0.7555555555555555,3,31,0,3,574
10,Random Forest,0.0,0.0,0.0,0.15,0,0,3,3,574
11,Threshold Baseline,0.011869436201780416,1.0,0.02346041055718475,,4,333,0,4,508
11,Logistic Regression,0.08,1.0,0.14814814814814814,0.6597744360902255,4,46,0,4,508
11,Random Forest,0.0,0.0,0.0,0.3352864583333333,0,0,4,4,508
12,Threshold Baseline,0.01282051282051282,1.0,0.02531645569620253,,4,308,0,4,505
12,Logistic Regression,0.08571428571428572,0.75,0.15384615384615385,0.3483504512916278,3,32,1,4,505
12,Random Forest,0.0,0.0,0.0,0.3202876179086993,0,0,4,4,505
13,Threshold Baseline,0.01440922190201729,0.8333333333333334,0.028328611898016998,,5,342,1,6,538
13,Logistic Regression,0.11320754716981132,1.0,0.2033898305084746,0.36453548297402116,6,47,0,6,538
13,Random Forest,0.0,0.0,0.0,0.738095238095238,0,0,6,6,538
14,Threshold Baseline,0.0113314447592068,1.0,0.022408963585434174,,4,349,0,4,524
14,Logistic Regression,0.04938271604938271,1.0,0.09411764705882353,0.5094827586206896,4,77,0,4,524
14,Random Forest,0.0,0.0,0.0,0.18759803921568627,0,0,4,4,524
15,Threshold Baseline,0.011869436201780416,1.0,0.02346041055718475,,4,333,0,4,530
15,Logistic Regression,0.10810810810810811,1.0,0.1951219512195122,0.4722222222222222,4,33,0,4,530
15,Random Forest,1.0,0.5,0.6666666666666666,0.875,2,0,2,4,530
16,Threshold Baseline,0.01078167115902965,1.0,0.021333333333333333,,4,367,0,4,653
16,Logistic Regression,0.07407407407407407,1.0,0.13793103448275862,0.2718253968253968,4,50,0,4,653
16,Random Forest,1.0,0.25,0.4,0.6086649271580779,1,0,3,4,653
17,Threshold Baseline,0.008982035928143712,0.6,0.017699115044247787,,3,331,2,5,630
17,Logistic Regression,0.08333333333333333,1.0,0.15384615384615385,0.2854978354978355,5,55,0,5,630
17,Random Forest,0.0,0.0,0.0,0.46834733893557423,0,0,5,5,630
18,Threshold Baseline,0.008571428571428572,0.5,0.016853932584269662,,3,347,3,6,654
18,Logistic Regression,0.05504587155963303,1.0,0.10434782608695652,0.20634920634920637,6,103,0,6,654
18,Random Forest,1.0,0.16666666666666666,0.2857142857142857,0.2734006734006734,1,0,5,6,654
19,Threshold Baseline,0.012539184952978056,1.0,0.02476780185758514,,4,315,0,4,570
19,Logistic Regression,0.05714285714285714,0.5,0.10256410256410256,0.3023949916284487,2,33,2,4,570
19,Random Forest,0.0,0.0,0.0,0.33696943300601834,0,0,4,4,570
20,Threshold Baseline,0.013966480446927373,1.0,0.027548209366391185,,5,353,0,5,580
20,Logistic Regression,0.05714285714285714,0.8,0.10666666666666667,0.2890896358543418,4,66,1,5,580
20,Random Forest,0.0,0.0,0.0,0.4398046398046398,0,0,5,5,580
21,Threshold Baseline,0.009146341463414634,0.75,0.018072289156626505,,3,325,1,4,623
